date,ust3MTH_close
2021/4/26,0.038
2021/4/27,0.028
2021/4/28,0.023
2021/4/29,0.013
2021/4/30,0.013
2021/5/2,0.013
2021/5/3,0.018
2021/5/4,0.015
2021/5/5,0.015
2021/5/6,0.015
2021/5/7,0.015
2021/5/9,0.018
2021/5/10,0.01
2021/5/11,0.015
2021/5/12,0.015
2021/5/13,0.013
2021/5/14,0.01
2021/5/16,0.015
2021/5/17,0.01
2021/5/18,0.015
2021/5/19,0.015
2021/5/20,0.008
2021/5/21,0.005
2021/5/23,0.015
2021/5/24,0.018
2021/5/25,0.015
2021/5/26,0.01
2021/5/27,0.01
2021/5/28,0.013
2021/5/31,0.015
2021/6/1,0.03
2021/6/2,0.02
2021/6/3,0.02
2021/6/4,0.02
2021/6/6,0.025
2021/6/7,0.025
2021/6/8,0.025
2021/6/9,0.025
2021/6/10,0.025
2021/6/11,0.028
2021/6/13,0.028
2021/6/14,0.025
2021/6/15,0.025
2021/6/16,0.048
2021/6/17,0.038
2021/6/18,0.043
2021/6/20,0.046
2021/6/21,0.051
2021/6/22,0.043
2021/6/23,0.046
2021/6/24,0.053
2021/6/25,0.053
2021/6/26,0.051
2021/6/27,0.066
2021/6/28,0.051
2021/6/29,0.058
2021/6/30,0.046
2021/7/1,0.048
2021/7/2,0.051
2021/7/3,0.046
2021/7/5,0.046
2021/7/6,0.061
2021/7/7,0.053
2021/7/8,0.053
2021/7/9,0.053
2021/7/11,0.051
2021/7/12,0.053
2021/7/13,0.051
2021/7/14,0.051
2021/7/15,0.048
2021/7/16,0.046
2021/7/17,0.046
2021/7/18,0.051
2021/7/19,0.053
2021/7/20,0.051
2021/7/21,0.051
2021/7/22,0.053
2021/7/23,0.051
2021/7/24,0.051
2021/7/25,0.051
2021/7/26,0.061
2021/7/27,0.051
2021/7/28,0.051
2021/7/29,0.051
2021/7/30,0.046
2021/8/2,0.051
2021/8/3,0.051
2021/8/4,0.051
2021/8/5,0.053
2021/8/6,0.051
2021/8/7,0.056
2021/8/9,0.051
2021/8/10,0.056
2021/8/11,0.051
2021/8/12,0.051
2021/8/13,0.053
2021/8/14,0.056
2021/8/15,0.058
2021/8/16,0.063
2021/8/17,0.074
2021/8/18,0.061
2021/8/19,0.053
2021/8/20,0.053
2021/8/22,0.056
2021/8/23,0.058
2021/8/24,0.058
2021/8/25,0.051
2021/8/26,0.053
2021/8/27,0.053
2021/8/29,0.053
2021/8/30,0.048
2021/8/31,0.046
2021/9/1,0.046
2021/9/2,0.053
2021/9/3,0.046
2021/9/4,0.056
2021/9/6,0.046
2021/9/7,0.053
2021/9/8,0.046
2021/9/9,0.046
2021/9/10,0.048
2021/9/12,0.046
2021/9/13,0.043
2021/9/14,0.041
2021/9/15,0.041
2021/9/16,0.035
2021/9/17,0.041
2021/9/18,0.041
2021/9/19,0.041
2021/9/20,0.03
2021/9/21,0.025
2021/9/22,0.03
2021/9/23,0.03
2021/9/24,0.035
2021/9/26,0.038
2021/9/27,0.03
2021/9/28,0.041
2021/9/29,0.041
2021/9/30,0.038
2021/10/1,0.038
2021/10/2,0.036
2021/10/3,0.036
2021/10/4,0.038
2021/10/5,0.041
2021/10/6,0.046
2021/10/7,0.053
2021/10/8,0.051
2021/10/9,0.051
2021/10/11,0.053
2021/10/12,0.058
2021/10/13,0.051
2021/10/14,0.046
2021/10/15,0.048
2021/10/17,0.061
2021/10/18,0.063
2021/10/19,0.056
2021/10/20,0.056
2021/10/21,0.056
2021/10/22,0.061
2021/10/24,0.058
2021/10/25,0.056
2021/10/26,0.056
2021/10/27,0.056
2021/10/28,0.056
2021/10/29,0.058
2021/10/30,0.051
2021/10/31,0.058
2021/11/1,0.051
2021/11/2,0.051
2021/11/3,0.051
2021/11/4,0.041
2021/11/5,0.046
2021/11/7,0.046
2021/11/8,0.046
2021/11/9,0.046
2021/11/10,0.043
2021/11/11,0.051
2021/11/12,0.053
2021/11/14,0.056
2021/11/15,0.046
2021/11/16,0.053
2021/11/17,0.051
2021/11/18,0.053
2021/11/19,0.053
2021/11/21,0.056
2021/11/22,0.053
2021/11/23,0.051
2021/11/24,0.061
2021/11/25,0.061
2021/11/26,0.053
2021/11/28,0.056
2021/11/29,0.048
2021/11/30,0.053
2021/12/1,0.056
2021/12/2,0.053
